ReportType,AM,Месяц,Период,к пролонгации первый месяц,пролонгировано в первый месяц,Коэффицент в первый месяц,к пролонгации через месяц,пролонгировано через месяц,Коэффицент через месяц
AM_pivot,Попова Екатерина Николаевна,202304,апрель 2023,,,0.166304605779587,,,0.1909066451439332
AM_pivot,Попова Екатерина Николаевна,202305,май 2023,,,0.4916267469020943,,,0.0
AM_pivot,Попова Екатерина Николаевна,202306,июнь 2023,,,0.0,,,0.0
AM_pivot,Попова Екатерина Николаевна,202307,июль 2023,,,0.0960518929707478,,,0.9771414217533284
AM_pivot,Попова Екатерина Николаевна,202308,август 2023,,,0.5547610473789804,,,0.0
AM_pivot,Попова Екатерина Николаевна,202309,сентябрь 2023,,,0.977227440933675,,,0.0
AM_pivot,Попова Екатерина Николаевна,202310,октябрь 2023,,,0.696784791086355,,,0.0
AM_pivot,Попова Екатерина Николаевна,202311,ноябрь 2023,,,0.0,,,0.0
AM_pivot,Попова Екатерина Николаевна,202312,декабрь 2023,,,0.0,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202302,февраль 2023,,,0.0,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202303,март 2023,,,0.0,,,1.1505208333333334
AM_pivot,Смирнова Ольга Владимировна,202304,апрель 2023,,,1.0,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202305,май 2023,,,,,,
AM_pivot,Смирнова Ольга Владимировна,202306,июнь 2023,,,0.0,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202307,июль 2023,,,0.0,,,0.5162791441753317
AM_pivot,Смирнова Ольга Владимировна,202308,август 2023,,,0.281600555105817,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202309,сентябрь 2023,,,0.6108274701183078,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202310,октябрь 2023,,,1.224452440001497,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202311,ноябрь 2023,,,0.843110205361342,,,0.0
AM_pivot,Смирнова Ольга Владимировна,202312,декабрь 2023,,,0.069589422407794,,,0.6117111995451961
AM_pivot,Соколова Анастасия Викторовна,202302,февраль 2023,,,0.3543200802906791,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202303,март 2023,,,1.1569894403063208,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202304,апрель 2023,,,0.9764664636150492,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202305,май 2023,,,0.0,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202306,июнь 2023,,,0.0,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202307,июль 2023,,,0.0,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202308,август 2023,,,0.3385006077229111,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202309,сентябрь 2023,,,0.4752743932109001,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202310,октябрь 2023,,,0.6891025245887896,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202311,ноябрь 2023,,,0.270590535784122,,,0.0
AM_pivot,Соколова Анастасия Викторовна,202312,декабрь 2023,,,0.1470155836518671,,,0.0
