id,AM_primary,last_month_code
934,Смирнова Ольга Владимировна,202309
960,Соколова Анастасия Викторовна,202309
946,Попова Екатерина Николаевна,202309
831,Иванова Мария Сергеевна,202309
933,Михайлов Андрей Сергеевич,202309
83,Смирнова Ольга Владимировна,202310
460,Смирнова Ольга Владимировна,202310
963,Васильев Артем Александрович,202310
748,Васильев Артем Александрович,202310
841,Кузнецов Михаил Иванович,202310
822,Васильев Артем Александрович,202310
935,Соколова Анастасия Викторовна,202310
931,Смирнова Ольга Владимировна,202310
940,Смирнова Ольга Владимировна,202310
941,Смирнова Ольга Владимировна,202310
707,Соколова Анастасия Викторовна,202310
956,Васильев Артем Александрович,202310
852,Васильев Артем Александрович,202310
947,Васильев Артем Александрович,202310
977,Кузнецов Михаил Иванович,202310
972,Васильев Артем Александрович,202310
943,Смирнова Ольга Владимировна,202310
932,Смирнова Ольга Владимировна,202310
978,Михайлов Андрей Сергеевич,202311
793,Кузнецов Михаил Иванович,202311
910,Смирнова Ольга Владимировна,202311
927,Смирнова Ольга Владимировна,202311
817,Попова Екатерина Николаевна,202311
896,Попова Екатерина Николаевна,202311
998,Попова Екатерина Николаевна,202311
886,Васильев Артем Александрович,202311
866,Соколова Анастасия Викторовна,202311
997,Соколова Анастасия Викторовна,202311
954,Соколова Анастасия Викторовна,202311
873,Попова Екатерина Николаевна,202311
900,Смирнова Ольга Владимировна,202311
899,Васильев Артем Александрович,202311
1015,Смирнова Ольга Владимировна,202311
976,Соколова Анастасия Викторовна,202311
1012,Петрова Анна Дмитриевна,202311
1001,Кузнецов Михаил Иванович,202311
958,Федорова Марина Васильевна,202312
962,Смирнова Ольга Владимировна,202312
742,Попова Екатерина Николаевна,202312
772,Попова Екатерина Николаевна,202312
54,Смирнова Ольга Владимировна,202312
966,Смирнова Ольга Владимировна,202312
975,Смирнова Ольга Владимировна,202312
925,Смирнова Ольга Владимировна,202312
656,Смирнова Ольга Владимировна,202312
944,Смирнова Ольга Владимировна,202312
887,Попова Екатерина Николаевна,202312
879,Смирнова Ольга Владимировна,202312
818,Попова Екатерина Николаевна,202312
751,Васильев Артем Александрович,202312
747,Васильев Артем Александрович,202312
746,Васильев Артем Александрович,202312
749,Васильев Артем Александрович,202312
722,Попова Екатерина Николаевна,202312
915,Попова Екатерина Николаевна,202312
917,Попова Екатерина Николаевна,202312
918,Попова Екатерина Николаевна,202312
1006,Смирнова Ольга Владимировна,202312
979,Соколова Анастасия Викторовна,202312
739,Смирнова Ольга Владимировна,202312
752,Попова Екатерина Николаевна,202312
791,Васильев Артем Александрович,202312
890,Васильев Артем Александрович,202312
868,Соколова Анастасия Викторовна,202312
951,Васильев Артем Александрович,202312
777,Соколова Анастасия Викторовна,202312
778,Соколова Анастасия Викторовна,202312
350,Смирнова Ольга Владимировна,202312
955,Смирнова Ольга Владимировна,202312
1004,без А/М,202312
913,Смирнова Ольга Владимировна,202312
