id,Account,month_code,amount,any_stop,any_v_nol,has_stop_id
55,Иванова Мария Сергеевна,202310,0.0,False,False,False
55,Иванова Мария Сергеевна,202309,0.0,False,False,False
55,Иванова Мария Сергеевна,202302,0.0,False,False,False
55,Иванова Мария Сергеевна,202402,0.0,False,False,False
55,Иванова Мария Сергеевна,202301,0.0,False,False,False
55,Иванова Мария Сергеевна,202401,0.0,False,False,False
56,Васильев Артем Александрович,202308,0.0,False,False,False
56,Васильев Артем Александрович,202304,0.0,False,False,False
56,Васильев Артем Александрович,202212,0.0,False,False,False
56,Васильев Артем Александрович,202312,0.0,False,False,False
56,Васильев Артем Александрович,202307,0.0,False,False,False
56,Васильев Артем Александрович,202306,0.0,False,False,False
56,Васильев Артем Александрович,202305,0.0,False,False,False
56,Васильев Артем Александрович,202303,25672.5,False,False,False
56,Васильев Артем Александрович,202211,0.0,False,False,False
56,Васильев Артем Александрович,202311,0.0,False,False,False
56,Васильев Артем Александрович,202310,0.0,False,False,False
56,Васильев Артем Александрович,202309,0.0,False,False,False
56,Васильев Артем Александрович,202302,25672.5,False,False,False
56,Васильев Артем Александрович,202402,40869.0,False,False,False
56,Васильев Артем Александрович,202301,24615.0,False,False,False
56,Васильев Артем Александрович,202401,41409.0,False,False,False
83,Смирнова Ольга Владимировна,202308,79021.1,False,False,True
83,Смирнова Ольга Владимировна,202304,97543.8,False,False,True
83,Смирнова Ольга Владимировна,202212,0.0,False,False,True
83,Смирнова Ольга Владимировна,202312,0.0,False,False,True
83,Смирнова Ольга Владимировна,202307,79021.1,False,False,True
83,Смирнова Ольга Владимировна,202306,0.0,False,False,True
83,Смирнова Ольга Владимировна,202305,101007.7,False,False,True
83,Смирнова Ольга Владимировна,202303,101759.7,False,False,True
83,Смирнова Ольга Владимировна,202211,0.0,False,False,True
83,Смирнова Ольга Владимировна,202311,0.0,False,False,True
83,Смирнова Ольга Владимировна,202310,0.0,True,False,True
83,Смирнова Ольга Владимировна,202309,79021.1,False,False,True
83,Смирнова Ольга Владимировна,202302,96881.1,False,False,True
83,Смирнова Ольга Владимировна,202402,0.0,False,False,True
83,Смирнова Ольга Владимировна,202301,100166.4,False,False,True
83,Смирнова Ольга Владимировна,202401,0.0,False,False,True
86,Попова Екатерина Николаевна,202308,49469.16,False,False,False
86,Попова Екатерина Николаевна,202304,0.0,False,False,False
86,Попова Екатерина Николаевна,202212,0.0,False,False,False
86,Попова Екатерина Николаевна,202312,0.0,False,False,False
86,Попова Екатерина Николаевна,202307,45067.32,False,False,False
86,Попова Екатерина Николаевна,202306,44734.5,False,True,False
86,Попова Екатерина Николаевна,202305,0.0,False,False,False
